type,unit,tmi_2019,tmi_2023,abs_change_2019,pct_change_2019
País LATAM,Argentina,8.9,8.2,-0.7000000000000011,-7.86516853932585
País LATAM,Bolívia,23,20,-3,-13.043478260869568
País LATAM,Brasil,13,12.5,-0.5,-3.8461538461538436
País LATAM,Chile,6,6.2,0.20000000000000018,3.3333333333333437
País LATAM,Colômbia,12.4,10.9,-1.5,-12.096774193548388
País LATAM,Costa Rica,7.9,9.2,1.299999999999999,16.455696202531623
País LATAM,Cuba,5.4,6.6,1.1999999999999993,22.22222222222221
País LATAM,El Salvador,10.6,9.2,-1.4000000000000004,-13.20754716981133
País LATAM,Equador,11.7,11.1,-0.5999999999999996,-5.128205128205121
País LATAM,Guatemala,20.4,17.9,-2.5,-12.254901960784315
País LATAM,Honduras,15.1,13.3,-1.799999999999999,-11.920529801324498
País LATAM,México,12.2,10.8,-1.3999999999999986,-11.475409836065564
País LATAM,Nicarágua,12.1,10.3,-1.799999999999999,-14.876033057851235
País LATAM,Panamá,12.7,10.6,-2.0999999999999996,-16.535433070866134
País LATAM,Paraguai,17.2,15.1,-2.0999999999999996,-12.209302325581394
País LATAM,Peru,14.2,13.5,-0.6999999999999993,-4.929577464788726
País LATAM,República Dominicana,30.9,28.4,-2.5,-8.090614886731395
País LATAM,Uruguai,6.2,5.5,-0.7000000000000002,-11.290322580645162
País LATAM,Venezuela,21.5,21.5,0,0
Região BR,Centro-Oeste,11.8995570743278,12.9240763464128,1.0245192720849996,8.609726107329706
Região BR,Nordeste,13.8595033300129,13.9894748289763,0.12997149896339977,0.9377789078627741
Região BR,Norte,15.3330584792571,16.0426370561149,0.7095785768577993,4.627769324807129
Região BR,Sudeste,11.6298289679238,11.8713096406165,0.2414806726927008,2.0763905759811907
Região BR,Sul,10.2775001791404,10.0209407161202,-0.2565594630201993,-2.496321659433509
