type,unit,ano_inicio,ano_fim,duracao_anos,tmi_inicio,tmi_fim,delta_tmi,delta_pct,classificacao,ano_inicial_serie,ano_final_serie,tmi_inicial_serie,tmi_final_serie,delta_geral_tmi,delta_geral_pct,trajetoria_geral
País LATAM,Brazil,2013,2016,3,14.4,14.6,0.1999999999999993,1.388888888888884,Reversão,2000,2023,29.1,12.5,-16.6,-57.0446735395189,Queda geral
País LATAM,Brazil,2014,2016,2,14,14.6,0.5999999999999996,4.285714285714293,Reversão,2000,2023,29.1,12.5,-16.6,-57.0446735395189,Queda geral
País LATAM,Brazil,2015,2016,1,13.7,14.6,0.9000000000000004,6.569343065693434,Reversão,2000,2023,29.1,12.5,-16.6,-57.0446735395189,Queda geral
País LATAM,Brazil,2018,2019,1,13.1,13,-0.09999999999999964,-0.7633587786259555,Estagnação,2000,2023,29.1,12.5,-16.6,-57.0446735395189,Queda geral
País LATAM,Brazil,2021,2022,1,12.7,12.6,-0.09999999999999964,-0.7874015748031482,Estagnação,2000,2023,29.1,12.5,-16.6,-57.0446735395189,Queda geral
País LATAM,Brazil,2022,2023,1,12.6,12.5,-0.09999999999999964,-0.7936507936507908,Estagnação,2000,2023,29.1,12.5,-16.6,-57.0446735395189,Queda geral
País LATAM,Chile,2003,2004,1,8,7.9,-0.09999999999999964,-1.2499999999999956,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2006,2007,1,7.6,7.6,0,0,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2006,2008,2,7.6,7.6,0,0,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2006,2009,3,7.6,7.6,0,0,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2006,2010,4,7.6,7.5,-0.09999999999999964,-1.3157894736842035,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2007,2008,1,7.6,7.6,0,0,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2007,2009,2,7.6,7.6,0,0,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2007,2010,3,7.6,7.5,-0.09999999999999964,-1.3157894736842035,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2008,2009,1,7.6,7.6,0,0,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2008,2010,2,7.6,7.5,-0.09999999999999964,-1.3157894736842035,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2009,2010,1,7.6,7.5,-0.09999999999999964,-1.3157894736842035,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2010,2011,1,7.5,7.4,-0.09999999999999964,-1.3333333333333308,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2013,2014,1,7.1,7,-0.09999999999999964,-1.4084507042253502,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2015,2016,1,6.8,6.7,-0.09999999999999964,-1.4705882352941124,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2018,2023,5,6.3,6.2,-0.09999999999999964,-1.5873015873015817,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2019,2020,1,6,5.9,-0.09999999999999964,-1.6666666666666607,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2019,2022,3,6,5.9,-0.09999999999999964,-1.6666666666666607,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2019,2023,4,6,6.2,0.20000000000000018,3.3333333333333437,Reversão,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2020,2022,2,5.9,5.9,0,0,Estagnação,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2020,2023,3,5.9,6.2,0.2999999999999998,5.084745762711851,Reversão,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2021,2022,1,5.8,5.9,0.10000000000000053,1.7241379310344973,Reversão,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2021,2023,2,5.8,6.2,0.40000000000000036,6.896551724137945,Reversão,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Chile,2022,2023,1,5.9,6.2,0.2999999999999998,5.084745762711851,Reversão,2000,2023,9.2,6.2,-2.999999999999999,-32.6086956521739,Queda geral
País LATAM,Costa Rica,2005,2006,1,9.7,9.6,-0.09999999999999964,-1.0309278350515427,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2006,2007,1,9.6,9.5,-0.09999999999999964,-1.041666666666663,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2007,2008,1,9.5,9.4,-0.09999999999999964,-1.0526315789473606,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2008,2009,1,9.4,9.3,-0.09999999999999964,-1.0638297872340385,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2010,2023,13,9,9.2,0.1999999999999993,2.2222222222222143,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2011,2022,11,8.8,8.8,0,0,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2011,2023,12,8.8,9.2,0.3999999999999986,4.545454545454519,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2012,2021,9,8.5,8.5,0,0,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2012,2022,10,8.5,8.8,0.3000000000000007,3.529411764705892,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2012,2023,11,8.5,9.2,0.6999999999999993,8.23529411764705,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2013,2020,7,8.2,8.2,0,0,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2013,2021,8,8.2,8.5,0.3000000000000007,3.658536585365857,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2013,2022,9,8.2,8.8,0.6000000000000014,7.317073170731736,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2013,2023,10,8.2,9.2,1,12.195121951219523,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2014,2019,5,8,7.9,-0.09999999999999964,-1.2499999999999956,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2014,2020,6,8,8.2,0.1999999999999993,2.499999999999991,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2014,2021,7,8,8.5,0.5,6.25,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2014,2022,8,8,8.8,0.8000000000000007,10.000000000000009,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2014,2023,9,8,9.2,1.1999999999999993,14.999999999999991,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2015,2016,1,7.8,7.7,-0.09999999999999964,-1.2820512820512775,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2015,2017,2,7.8,7.7,-0.09999999999999964,-1.2820512820512775,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2015,2018,3,7.8,7.8,0,0,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2015,2019,4,7.8,7.9,0.10000000000000053,1.2820512820512997,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2015,2020,5,7.8,8.2,0.39999999999999947,5.128205128205132,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2015,2021,6,7.8,8.5,0.7000000000000002,8.974358974358987,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2015,2022,7,7.8,8.8,1.0000000000000009,12.820512820512842,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2015,2023,8,7.8,9.2,1.3999999999999995,17.948717948717952,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2016,2017,1,7.7,7.7,0,0,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2016,2018,2,7.7,7.8,0.09999999999999964,1.298701298701288,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2016,2019,3,7.7,7.9,0.20000000000000018,2.5974025974025983,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2016,2020,4,7.7,8.2,0.4999999999999991,6.493506493506485,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2016,2021,5,7.7,8.5,0.7999999999999998,10.389610389610393,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2016,2022,6,7.7,8.8,1.1000000000000005,14.285714285714302,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2016,2023,7,7.7,9.2,1.4999999999999991,19.480519480519476,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2017,2018,1,7.7,7.8,0.09999999999999964,1.298701298701288,Estagnação,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2017,2019,2,7.7,7.9,0.20000000000000018,2.5974025974025983,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2017,2020,3,7.7,8.2,0.4999999999999991,6.493506493506485,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2017,2021,4,7.7,8.5,0.7999999999999998,10.389610389610393,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2017,2022,5,7.7,8.8,1.1000000000000005,14.285714285714302,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2017,2023,6,7.7,9.2,1.4999999999999991,19.480519480519476,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2018,2019,1,7.8,7.9,0.10000000000000053,1.2820512820512997,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2018,2020,2,7.8,8.2,0.39999999999999947,5.128205128205132,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2018,2021,3,7.8,8.5,0.7000000000000002,8.974358974358987,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2018,2022,4,7.8,8.8,1.0000000000000009,12.820512820512842,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2018,2023,5,7.8,9.2,1.3999999999999995,17.948717948717952,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2019,2020,1,7.9,8.2,0.29999999999999893,3.7974683544303556,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2019,2021,2,7.9,8.5,0.5999999999999996,7.594936708860756,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2019,2022,3,7.9,8.8,0.9000000000000004,11.392405063291132,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2019,2023,4,7.9,9.2,1.299999999999999,16.455696202531623,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2020,2021,1,8.2,8.5,0.3000000000000007,3.658536585365857,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2020,2022,2,8.2,8.8,0.6000000000000014,7.317073170731736,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
