type,unit,unit_order,tmi_2000,tmi_2023,queda_abs,queda_pct
Região BR,Sul,1,17.1966985669,10.0209407161202,7.175757850779799,41.7275317286285
Região BR,Sudeste,2,20.3074684265,11.8713096406165,8.436158785883501,41.542148970547366
Região BR,Centro-Oeste,3,23.3320353545,12.9240763464128,10.4079590080872,44.60802004605158
Região BR,Nordeste,4,41.1834750134,13.9894748289763,27.1940001844237,66.03133945247578
Região BR,Norte,5,33.6558264132,16.0426370561149,17.613189357085105,52.33325469665815
País LATAM,Argentina,6,16.7,8.2,8.5,50.898203592814376
País LATAM,Bolívia,7,59.6,20,39.6,66.44295302013423
País LATAM,Chile,8,9.2,6.2,2.999999999999999,32.6086956521739
País LATAM,Colômbia,9,21.6,10.9,10.700000000000001,49.53703703703704
País LATAM,Costa Rica,10,11.2,9.2,2,17.85714285714286
País LATAM,Cuba,11,6.8,6.6,0.20000000000000018,2.941176470588236
País LATAM,El Salvador,12,26.5,9.2,17.3,65.28301886792454
País LATAM,Equador,13,24.1,11.1,13.000000000000002,53.94190871369295
País LATAM,Guatemala,14,40.8,17.9,22.9,56.127450980392155
País LATAM,Honduras,15,29.6,13.3,16.3,55.067567567567565
País LATAM,México,16,23.7,10.8,12.899999999999999,54.43037974683544
País LATAM,Nicarágua,17,30.8,10.3,20.5,66.55844155844154
País LATAM,Panamá,18,20.3,10.6,9.700000000000001,47.7832512315271
País LATAM,Paraguai,19,28.7,15.1,13.6,47.386759581881535
País LATAM,Peru,20,29.9,13.5,16.4,54.84949832775919
País LATAM,República Dominicana,21,33.6,28.4,5.200000000000003,15.476190476190489
País LATAM,Uruguai,22,14.7,5.5,9.2,62.585034013605444
País LATAM,Venezuela,23,17.5,21.5,-4,-22.857142857142865
