year,type,unit,tmi,unit_order
2000,Região BR,Sul,17.1966985669,1
2000,Região BR,Sudeste,20.3074684265,2
2000,Região BR,Centro-Oeste,23.3320353545,3
2000,Região BR,Nordeste,41.1834750134,4
2000,Região BR,Norte,33.6558264132,5
2000,País LATAM,Argentina,16.7,6
2000,País LATAM,Bolívia,59.6,7
2000,País LATAM,Chile,9.2,8
2000,País LATAM,Colômbia,21.6,9
2000,País LATAM,Costa Rica,11.2,10
2000,País LATAM,Cuba,6.8,11
2000,País LATAM,El Salvador,26.5,12
2000,País LATAM,Equador,24.1,13
2000,País LATAM,Guatemala,40.8,14
2000,País LATAM,Honduras,29.6,15
2000,País LATAM,México,23.7,16
2000,País LATAM,Nicarágua,30.8,17
2000,País LATAM,Panamá,20.3,18
2000,País LATAM,Paraguai,28.7,19
2000,País LATAM,Peru,29.9,20
2000,País LATAM,República Dominicana,33.6,21
2000,País LATAM,Uruguai,14.7,22
2000,País LATAM,Venezuela,17.5,23
2008,Região BR,Sul,12.7713520692,1
2008,Região BR,Sudeste,14.0045063101,2
2008,Região BR,Centro-Oeste,16.2204445234,3
2008,Região BR,Nordeste,20.8110499383,4
2008,Região BR,Norte,21.6428777496,5
2008,País LATAM,Argentina,13.2,6
2008,País LATAM,Bolívia,38.8,7
2008,País LATAM,Chile,7.6,8
2008,País LATAM,Colômbia,17.3,9
2008,País LATAM,Costa Rica,9.4,10
2008,País LATAM,Cuba,5.1,11
2008,País LATAM,El Salvador,17.2,12
2008,País LATAM,Equador,17.4,13
2008,País LATAM,Guatemala,30.4,14
2008,País LATAM,Honduras,21.6,15
2008,País LATAM,México,17.3,16
2008,País LATAM,Nicarágua,20.4,17
2008,País LATAM,Panamá,15.6,18
2008,País LATAM,Paraguai,23.9,19
2008,País LATAM,Peru,18.3,20
2008,País LATAM,República Dominicana,30.8,21
2008,País LATAM,Uruguai,10.2,22
2008,País LATAM,Venezuela,14.4,23
2016,Região BR,Sul,10.0112591655003,1
2016,Região BR,Sudeste,11.701569080286,2
2016,Região BR,Centro-Oeste,12.7243744001057,3
2016,Região BR,Nordeste,14.6044772650428,4
2016,Região BR,Norte,15.6611292542624,5
2016,País LATAM,Argentina,9.7,6
2016,País LATAM,Bolívia,25.9,7
2016,País LATAM,Chile,6.7,8
2016,País LATAM,Colômbia,13.6,9
2016,País LATAM,Costa Rica,7.7,10
2016,País LATAM,Cuba,4.9,11
2016,País LATAM,El Salvador,12,12
2016,País LATAM,Equador,12.5,13
2016,País LATAM,Guatemala,22.5,14
2016,País LATAM,Honduras,16.6,15
2016,País LATAM,México,13.5,16
2016,País LATAM,Nicarágua,13.9,17
2016,País LATAM,Panamá,13.5,18
2016,País LATAM,Paraguai,18.9,19
2016,País LATAM,Peru,14.5,20
2016,País LATAM,República Dominicana,31.3,21
2016,País LATAM,Uruguai,7.2,22
2016,País LATAM,Venezuela,21.5,23
2023,Região BR,Sul,10.0209407161202,1
2023,Região BR,Sudeste,11.8713096406165,2
2023,Região BR,Centro-Oeste,12.9240763464128,3
2023,Região BR,Nordeste,13.9894748289763,4
2023,Região BR,Norte,16.0426370561149,5
2023,País LATAM,Argentina,8.2,6
2023,País LATAM,Bolívia,20,7
2023,País LATAM,Chile,6.2,8
2023,País LATAM,Colômbia,10.9,9
2023,País LATAM,Costa Rica,9.2,10
2023,País LATAM,Cuba,6.6,11
2023,País LATAM,El Salvador,9.2,12
2023,País LATAM,Equador,11.1,13
2023,País LATAM,Guatemala,17.9,14
2023,País LATAM,Honduras,13.3,15
2023,País LATAM,México,10.8,16
2023,País LATAM,Nicarágua,10.3,17
2023,País LATAM,Panamá,10.6,18
2023,País LATAM,Paraguai,15.1,19
2023,País LATAM,Peru,13.5,20
2023,País LATAM,República Dominicana,28.4,21
2023,País LATAM,Uruguai,5.5,22
2023,País LATAM,Venezuela,21.5,23
